,Id,Latitude,Longitude,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female ,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%) ,Population Average annual growth 2010/2015 (%) ,Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older) ,Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
3,4,51.165691,10.451526,Germany,4,0.926,81.1,13.2,45000,13,0,0.71,0.59,0.3,0.58,0.964,2,0.908,0.942,83.4,78.7,12.9,13.6,35878,54440,36.9,96.4,97,54.5,80.69999695,79.30000305,-0.2,0.1,75.3,3.4,53.20000076,17.1,46.2,19.6,32.2,1.4,1.4,,2,3,1.3,3.1,3.7,,,,0.4,,23.5,38.9,8.7,57.6,60.3,1.3,70.4,4.6,7.1,6.4,6.3,,,98,100,87.6,9.600000382,0.859,7.2,-1,7,3.7,0.905,2.6,0.891,14.8,0.787,4.6,1.1,30.1
28,29,39.074208,21.824312,Greece,29,0.866,81.1,10.5,24808,16,0,0.52,0.71,0.14,0.52,0.957,2,0.844,0.883,84,78.2,10.3,10.8,17304,32683,19.7,63.7,71.7,43.9,11,10.5,0.2,-0.4,78,0.5,7,2.3,43.6,22.8,33.4,1.3,1.3,,1,3,,3.6,4.6,45,101,,1,0.3,23.6,61.7,5,38.8,51.7,13,71.8,24.9,49.2,19.1,29.6,,,119,77.4,66.8,3,0.758,12.4,-6,12.2,3.7,0.905,11.7,0.733,21.1,0.657,7.6,1.6,36.7
42,43,47.162494,19.503304,Hungary,43,0.836,75.3,12,23394,6,-4,0.89,0.67,0.36,0.7,0.988,1,0.83,0.84,78.8,71.6,12,12.1,17787,29567,10.1,95.6,97.9,46.4,9.899999619,9.300000191,-0.3,-0.3,71.2,0.5,6.699999809,1.8,41.3,21.5,26.3,1.3,1.3,,1,1,,5.3,5.9,,,,0.7,,20.1,30.8,4.9,50.2,54,4.6,64.5,7,18.2,13.6,5.8,,,168,91.4,72.8,-0.899999976,0.771,7.8,6,7.6,5.2,0.807,3.1,0.808,14.6,0.704,5,1.1,30.6
8,9,64.963051,-19.020835,Iceland,9,0.921,82.7,12.2,37065,20,7,0.7,0.46,0.6,0.58,0.965,2,0.905,0.938,84.2,81.2,12.2,12.6,30530,43576,41.3,100,97.2,70.7,0.300000012,0.400000006,1.1,0.7,94.1,0,0.200000003,0,36,30.8,20.8,2,2,,4,10,,1.6,2,39,67,,0.3,,24.5,34.8,7.2,70.8,74.1,4.2,77.1,4.4,8.7,5.8,8.5,,,90,100,98.2,6.300000191,0.868,5.8,6,5.7,2.9,0.937,2.5,0.884,11.7,0.789,4,1,26.9
7,8,53.41291,-8.24389,Ireland,8,0.923,81.1,12.3,43798,11,1,1.17,0.6,0.29,0.77,0.976,1,0.909,0.931,83.1,79,12.5,11.9,33497,54135,19.9,86.8,82.2,52.4,4.699999809,5.199999809,1.8,0.3,63.2,0.4,3.099999905,0.6,36.9,33.5,20.2,2,2,,2,7,,3,3.6,,,,0.4,,23.4,26.7,5.1,54.3,60,6.1,75.2,9.5,20.9,15.2,12.7,,,182,90.5,80.1,-1.5,0.85,7.9,-2,7.7,3.7,0.905,3,0.883,16.3,0.769,5.3,1.3,32.5
25,26,41.87194,12.56738,Italy,26,0.887,83.3,10.9,33573,6,0,0.76,0.51,0.34,0.58,0.963,2,0.865,0.899,85.7,80.9,10.5,11,22910,44844,30.1,79.1,83.3,39.3,59.79999924,59.09999847,0.5,0.1,69,2.6,38.20000076,13.4,45.9,21.5,35.1,1.3,1.4,,2,14,,2.9,3.5,,,,0.4,0.4,25.1,37.6,7,42.5,48.4,3.5,69.5,12.1,42.1,22,18.1,,,150,81.1,65.6,-2.200000048,0.784,11.5,-3,11.2,3,0.945,9.9,0.734,20.8,0.696,6.7,1.4,35.2
56,57,48.019573,66.923684,Kazakhstan,56,0.794,69.6,11.7,22093,-3,7,-0.07,1.13,0.72,0.56,1.006,1,0.795,0.79,74.3,64.8,11.7,11.7,16364,28226,20.1,99.7,100,66.1,17.60000038,20.10000038,0.7,1.6,53.2,1.9,11.69999981,1.2,29.3,40.1,10.1,2,2.6,31.8,4,1,13.1,12.6,14.1,124,302,,8.6,0.2,17.1,36.2,2.4,67.2,71.2,24.2,56,5.6,5.1,,28.6,2,3.4,126,95.9,72.9,53.59999847,0.714,10.1,4,10.1,11.6,0.674,5.9,0.758,12.7,0.712,3.7,0.9,26.3
43,44,56.879635,24.603189,Latvia,44,0.83,74.3,11.7,22589,7,1,0.35,1.07,0.49,0.67,1.025,2,0.84,0.82,79,69.3,12,11.6,18824,27031,18,99.3,98.8,54.4,2,1.799999952,-1.3,-1.2,67.4,0.1,1.299999952,0.4,42.9,22.7,29.5,1.3,1.5,,7,5,,6.9,7.9,94,243,,2.7,0.7,19.8,35.8,3.7,54.4,60.4,7.3,68.6,9.8,14.8,12,7.6,,,112,100,79.2,15.10000038,0.742,10.6,-1,10.3,6.7,0.78,3.8,0.803,20.3,0.653,6.7,1.4,35.5
14,15,47.166,9.555373,Liechtenstein,15,0.912,80.2,12.4,75065,-11,-5,,0.48,0.16,,,,,,,,,,,,20,,,,0,0,0.9,0.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,10.69999981,,,,,,,,,,,,,
36,37,55.169438,23.881275,Lithuania,37,0.848,73.5,12.7,26006,7,-1,0.36,0.87,0.53,0.6,1.032,2,0.861,0.834,79.1,67.9,12.7,12.7,22147,30530,23.4,91.1,95.6,53.9,2.900000095,2.700000048,-0.8,-1.6,66.5,0.2,1.899999976,0.5,43.1,21.8,28.3,1.3,1.6,,3,7,,3.3,5.2,92,266,,7.7,,19.2,41.2,4.4,53.5,59.1,9,65.8,9.5,17.6,9.9,9.8,,,126,100,71.4,-12.5,0.759,10.5,0,10.2,5.5,0.778,5.6,0.833,19.6,0.675,6.5,1.4,35.2
19,20,49.815273,6.129583,Luxembourg,20,0.898,81.9,12,62471,-12,-4,0.88,0.46,0.11,0.56,0.966,2,0.881,0.911,84.1,79.6,11.6,12.3,47539,77291,28.3,100.6,99.4,52.2,0.600000024,0.699999988,1,2.2,90.2,0,0.400000006,0.1,39.2,23.6,20.1,1.7,1.6,,1,1,,1.5,1.9,,,,0.2,,23.9,29,5.8,55.7,59.1,1.3,85.7,5.9,18.6,6.3,6.3,,,112,90,97.3,3.799999952,0.827,8,1,7.8,2.6,0.927,5.8,0.738,15.1,0.826,5.9,1.4,34.8
