,Id,Latitude,Longitude,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female ,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%) ,Population Average annual growth 2010/2015 (%) ,Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older) ,Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
48,49,61.52401,105.318756,Russia,49,0.804,70.3,12,23286,1,5,-0.18,0.87,0.48,0.37,1.016,1,0.809,0.796,75.9,64.6,12,12.1,17868,29531,14.5,94.6,94.7,56.6,143.5,138.6999969,-0.4,0,74,9.2,100.3000031,19.2,38.7,24,19.1,1.3,1.7,,3,2,,8.2,9.6,,,,11,,18.4,43.1,3.7,59.8,63.5,6.7,65.8,5.8,15,12,6,,3.9,140,100,73.4,-3.400000095,0.725,9.8,1,9.6,8.8,0.705,2.2,0.798,17.7,0.678,8.2,2,41.6
192,193,43.94236,12.457777,San Marino,,,,,50063,,,,,,,,,,,,,,,,,16.7,,,,0,0,1.3,0.7,94.2,,,,,,,,,,18,43,,2.6,2.9,,,,0,,,51,5.7,,,0.3,65.4,,,,,,,150,,,16.20000076,,,,,,,,,,,,,
66,67,44.016521,21.005859,Serbia,66,0.776,75,10.8,12202,22,0,-0.07,0.65,0.5,0.33,0.969,2,0.763,0.787,77.9,72.2,10.3,11.4,9600,14932,34,82.3,91.6,43.4,8.899999619,8.300000191,-0.6,-0.5,55.6,0.5,5.900000095,1.5,40.6,24.5,25.6,1.7,1.6,12.8,3,14,6,5.9,6.7,79,152,,1.4,,19.1,21.1,6.4,41.7,51.5,21.3,52.9,19,45.2,19.5,28.6,10,0.4,135,46.1,65.3,-3.799999952,0.689,11.2,3,11.1,7.9,0.78,8.1,0.698,17.4,0.6,4.4,1.1,29.1
39,40,48.669026,19.699024,Slovakia,40,0.845,76.4,12.2,26764,1,-7,0.34,0.83,0.39,0.54,0.991,1,0.838,0.846,80,72.7,12,12.3,20173,33770,18.7,99.2,99.5,51.4,5.400000095,5.400000095,0,0.1,53.6,0.3,3.900000095,0.8,39.1,21.3,19.5,1.2,1.4,,1,3,,5.8,7.3,,,,0.5,,20.3,33.2,5.8,52.8,59.5,3.5,60.9,11.3,25.2,12.8,12.2,,,238,100,85,12.19999981,0.793,6.1,12,6,5.3,0.822,1.4,0.812,11.4,0.748,4,0.9,26.1
24,25,46.151241,14.995463,Slovenia,25,0.89,80.6,12.1,28664,13,0,0.73,0.61,0.33,0.6,1.003,1,0.89,0.888,83.5,77.6,11.9,12.2,25654,31726,27.7,96.5,98.3,52.2,2.099999905,2.099999905,0.1,0.1,49.7,0.1,1.399999976,0.4,43.1,22,26.7,1.2,1.6,,2,6,,2.1,2.6,,,,0.8,,23.1,25.2,6.6,52.1,57.5,7.7,60.2,9.3,16.7,9.4,15.1,,,105,95.1,73.1,9.600000382,0.838,5.9,9,5.8,3.6,0.898,2.6,0.863,11.3,0.758,3.7,0.9,25.6
26,27,40.463667,-3.74922,Spain,27,0.884,82.8,9.8,32779,7,0,0.9,0.49,0.4,0.64,0.974,2,0.87,0.894,85.4,80,9.6,10,24382,41500,38,70.9,76.7,52.3,46.09999847,45.90000153,1.5,-0.2,79.6,2.1,30.60000038,8.7,43.2,22.4,28.3,1.3,1.3,,1,4,,3.5,4.1,,,,0.5,0.4,24.8,49.5,6.4,45.3,58.4,4.2,76.3,22.4,49.4,17.1,12.5,,,112,68.2,78.7,-3,0.791,10.5,1,10.1,3.5,0.932,5.1,0.777,21.8,0.684,7.3,1.5,35.9
13,14,60.128161,18.643501,Sweden,14,0.913,82.3,12.3,46251,2,-1,0.73,0.28,0.25,0.45,0.997,1,0.909,0.911,84,80.6,12.4,12.2,40328,52181,43.6,87.8,88.3,60.9,9.800000191,10.80000019,0.4,0.8,85.8,0.6,6.099999905,1.9,41,27.5,31.8,1.7,1.9,,1,3,,2.4,3,43,66,,0.3,,24.3,39.3,10,59.8,64.5,1.7,79,7.4,20.8,7.2,6.7,,,,100,90.6,11.30000019,0.851,6.7,3,6.6,3.3,0.928,3.4,0.826,13.1,0.806,4.2,0.9,27.3
2,3,46.818188,8.227512,Switzerland,2,0.939,83.1,13.4,56364,7,0,0.67,0.49,0.16,0.49,0.974,2,0.926,0.951,85.1,81,13.3,13.5,46798,66116,28.9,96.1,97.4,62.7,8.300000191,9.199999809,0.7,1.2,73.9,0.4,5.599999905,1.5,42.3,22,26.9,1.4,1.5,,2,7,,3.4,3.9,,,,0.1,,25,40.5,7.7,65.7,68.7,3.2,73.9,4.3,7,7.3,9.1,,,98,100,88,15.30000019,0.859,8.6,-4,8.4,3.8,0.934,5.7,0.84,15.7,0.806,4.9,1.2,31.6
70,71,38.963745,35.243322,Turkey,71,0.767,75.5,7.9,18705,-7,9,1.26,1.22,0.81,1.15,0.908,4,0.724,0.797,78.7,72.3,7,8.8,10648,27035,14.9,43.5,64.8,30.4,78.69999695,87.69999695,1.4,1.7,73.4,6.8,52.5,5.9,29.8,38.4,11.3,2.4,2.1,30.1,3,6,9.5,11.6,13.5,73,142,0,0.6,,20.8,17.1,4.2,45.1,50.3,19.7,51.9,10.3,16.4,24.8,29.4,6,4,112,88.1,53.7,12.10000038,0.645,15.9,-3,15.8,11.5,0.756,14.2,0.574,21.8,0.618,8,1.9,40.2
84,85,48.379433,31.16558,Ukraine,84,0.743,71.1,11.3,7361,34,-1,-0.48,0.87,0.25,0.21,1,1,0.741,0.741,76,66.2,11.3,11.3,5791,9181,12.1,94.3,96,52.2,44.79999924,40.90000153,-0.8,-0.4,69.7,2.5,31.29999924,6.9,40.3,21.4,21.9,1.1,1.5,19.7,10,21,3.7,7.7,9,111,292,,13,0.9,18.1,35.4,3.6,53.2,59.1,14.8,59.1,9.9,23.1,20,18.1,2,1.9,126,95,49.3,23,0.69,7.2,18,7.2,8.7,0.718,3.6,0.774,9.2,0.59,3.3,0.8,24.1
15,16,55.378051,-3.435973,United Kingdom,16,0.909,80.8,13.3,37931,10,-4,1.13,0.41,0.16,0.64,0.964,2,0.89,0.924,82.7,78.9,13.2,13.4,26324,49872,26.7,81.3,84.6,56.9,64.69999695,70.09999847,0.5,0.6,82.6,4.1,41.70000076,11.5,40,27.6,27.6,1.7,1.9,,2,7,,3.5,4.2,54,85,,0.5,,23.5,28.1,7.6,59.3,62.7,1.1,79.1,5.5,15.1,11.9,12.7,,,14,99.5,92,1.700000048,0.836,8,-1,7.8,4.5,0.894,2.8,0.871,16.2,0.752,5.3,1.3,32.6
